Company,Model Name,langchain_name,Description,Release Date,Capabilities,Supported Languages,Input Modalities,Output Modalities,API Endpoint,Update Frequency,Source URL
"OpenAI","GPT-4","gpt-4","Generative Pretrained Transformer, capable of language understanding, generation, and multiple tasks across domains.","2023-03-14","Text generation, summarization, translation, question answering, conversation, and code generation","English, Spanish, French, German, Chinese, Japanese, Korean","Text, code","Text, code","https://api.openai.com/v1/chat/completions","Weekly","https://openai.com"
"Anthropic","Claude 1","claude-1","Designed for natural language understanding and generation, focusing on ethical considerations in AI use.","2023-01-23","Text generation, summarization, ethical guidelines, conversation","English, Spanish, French","Text","Text","https://api.anthropic.com/v1/chat/completions","Monthly","https://www.anthropic.com"
"Google","PaLM 2","palm-2","Large-scale model for multilingual and multitask learning, excelling at reasoning tasks.","2023-04-20","Multilingual understanding, reasoning, summarization, translation","English, Spanish, French, German, Hindi, Chinese, Japanese","Text, voice","Text, voice","https://api.google.com/palm","Bi-weekly","https://ai.google.com"
"Mistral","Mistral 7B","mistral-7b","Open-weight dense model for general NLP tasks, optimized for efficiency in memory usage.","2023-09-21","Text generation, translation, summarization, knowledge extraction","English, French, German, Italian","Text","Text","https://api.mistral.ai/v1/completions","Monthly","https://mistral.ai"
"Meta","LLaMA 2","llama-2","Meta's state-of-the-art model for scientific and creative text generation, with open weights for research.","2023-07-13","Text generation, summarization, question answering, scientific text understanding","English, Spanish, French, German, Italian, Portuguese","Text","Text","https://api.meta.com/v1/completions","Quarterly","https://ai.facebook.com"
"DeepMind","Gopher","gopher","Focuses on scientific and technical tasks, with an emphasis on long-form reasoning and factuality.","2022-12-05","Fact-checking, question answering, text generation, summarization","English","Text","Text","https://api.deepmind.com/v1/gopher","Quarterly","https://deepmind.com"
"Microsoft","Turing-NLG","turing-nlg","Large-scale model optimized for language understanding, generation, and reasoning tasks.","2020-02-07","Text generation, question answering, summarization, language translation","English, Spanish, German, French, Chinese, Italian","Text","Text","https://api.microsoft.com/turing-nlg","Bi-monthly","https://www.microsoft.com"
"EleutherAI","GPT-NeoX","gpt-neox","Open-source language model for high-performance text generation and dialogue systems.","2021-03-01","Text generation, dialogue systems, code generation","English, French, Spanish, German, Portuguese","Text","Text","https://api.eleuther.ai/v1/gpt-neox","Monthly","https://www.eleuther.ai"
"Google DeepMind","Chinchilla","chinchilla","Optimized for training efficiency with a focus on scalable model architecture.","2022-12-15","Text generation, summarization, reasoning","English, Spanish, German, French, Italian","Text","Text","https://api.deepmind.com/v1/chinchilla","Quarterly","https://deepmind.com"
"OpenAI","Codex","codex","Language model specialized in generating and interpreting code in multiple programming languages.","2021-08-10","Code generation, problem solving, coding assistance, question answering","English","Text, code","Code","https://api.openai.com/v1/codex","Weekly","https://openai.com"
"EleutherAI","GPT-J","gpt-j","A 6 billion parameter model capable of generating high-quality text in a wide range of contexts.","2021-06-09","Text generation, summarization, translation, sentiment analysis","English, French, German, Spanish","Text","Text","https://api.eleuther.ai/v1/gpt-j","Monthly","https://www.eleuther.ai"
"OpenAI","DALL·E 2","dalle-2","Generative model for creating images from textual descriptions with high-quality visual output.","2022-04-06","Image generation from text, artistic creation","English","Text","Image","https://api.openai.com/v1/dalle","Monthly","https://openai.com"
"Anthropic","Claude 2","claude-2","Aimed at improving AI safety and trust, Claude 2 excels at maintaining ethical guidelines while generating content.","2023-03-01","Ethical AI, text generation, summarization, safe AI interactions","English, Spanish, French","Text","Text","https://api.anthropic.com/v1/claude-2","Monthly","https://www.anthropic.com"
"Google","BERT","bert","Transformers-based model designed for natural language understanding tasks, including QA and sentence classification.","2018-11-02","Text classification, question answering, sentiment analysis, named entity recognition","English, Spanish, French, German, Chinese","Text","Text","https://api.google.com/bert","Quarterly","https://ai.google.com"
"Meta","RoBERTa","roberta","An optimized version of BERT for better performance in text understanding and classification tasks.","2019-07-26","Text classification, question answering, text generation, sentiment analysis","English, Spanish, French, German","Text","Text","https://api.meta.com/v1/roberta","Quarterly","https://ai.facebook.com"
"DeepMind","GLaM","glam","Efficient mixture of experts model designed for natural language understanding and generation.","2021-11-10","Text generation, question answering, summarization, multitask learning","English, French, Spanish","Text","Text","https://api.deepmind.com/v1/glam","Quarterly","https://deepmind.com"
"OpenAI","Whisper","whisper","Automatic speech recognition model capable of transcribing and translating audio into text.","2022-09-21","Speech-to-text, translation, multilingual transcription","English, Spanish, French, German, Italian","Audio","Text","https://api.openai.com/v1/whisper","Bi-monthly","https://openai.com"
"Meta","OPT","opt","Open Pretrained Transformer for NLP tasks including summarization, translation, and classification.","2022-05-03","Text generation, summarization, translation, question answering","English, French, Spanish, German","Text","Text","https://api.meta.com/opt","Quarterly","https://ai.facebook.com"
"EleutherAI","GPT-3","gpt-3","One of the largest and most well-known language models, known for its natural language understanding and generation capabilities.","2020-06-11","Text generation, summarization, question answering, language translation","English, French, Spanish, German, Italian","Text","Text","https://api.eleuther.ai/gpt-3","Weekly","https://www.eleuther.ai"
"Google","LaMDA","lamda","Conversational AI focused on open-ended dialogue generation.","2021-05-18","Dialogue generation, conversational AI, question answering","English, Spanish, French, German, Italian","Text","Text","https://api.google.com/lamda","Bi-monthly","https://ai.google.com"
"OpenAI","CLIP","clip","Contrastive model for understanding images and text, designed to link visual and textual content.","2021-01-05","Image-text understanding, multimodal tasks, image classification","English","Text, Image","Text, Image","https://api.openai.com/v1/clip","Quarterly","https://openai.com"
"Meta","BlenderBot 3","blenderbot-3","Conversational agent capable of engaging in open-domain dialogue and providing factual responses.","2022-06-23","Conversational AI, dialogue generation, information retrieval","English, French, German, Spanish","Text","Text","https://api.meta.com/blenderbot","Monthly","https://ai.facebook.com"
